"Numero_expedient","Es_classificacio_ML","Es_mon_treball","Descripcio_Motiu_desplacament_conductor","Descripcio_sexe","Edat","Edat_CODIF","Descripció_tipus_persona","Desc_Tipus_vehicle_implicat","Tipus_vehicle_estandaritzat","Descripcio_victimitzacio","Victimitzacio_est","Victimitzacio_est_","NK_Any","Mes_any","Nom_mes","Estacio_any","Dia_mes","Descripcio_dia_setmana","Hora_dia","Descripcio_torn","Es_laborable","Es_ocupacional","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal.","Numero_victimes","Victimes_CODIF","Numero_morts","Morts_CODIF","Numero_lesionats_greus","Greus_CODIF","Numero_lesionats_lleus","Lleus_CODIF","Numero_vehicles_implicats","Vehicles_CODIF","Vehicles d'Ús Professional implicats","VUP_CODIF","Vehicles motoritzats de 2 rodes implicats","VM2R_CODIF","Vehicles motoritzats de quatre rodes implicats","VM4R_CODIF","Vehicles sense permís de conducció implicats","V_no_permis_CODIF","Descripcio_causa_mediata","Antiguitat_carnet_min","Interve_conductor_novell","Descripcio_Lloc_atropellament_vianant","Es_atropellament","Longitud_WGS84","Latitud_WGS84"
"2023S000026    ","No","No","Altres activitats","Home",26,"Conductors fins 29 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Rebutja assistència sanitària","Ferit lleu","Rebutja assistencia sanitaria",2023,1,"Gener","Hivern",2,"Dilluns",19,"Tarda","Si","No",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana                                         ","0682 0682",8,"Si",0,"No",0,"No",8,"Si",5,"Si",0,"No",3,"Si",1,"Si",1,"Si","Manca atencio a la conduccio",9,"No","Desconegut                                                                                                                                            ","No",2.188653583,41.449111399
"2023S000026    ","No","No","Altres activitats","Home",44,"Conductors d'entre 38 i 49 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",19,"Tarda","Si","No",9,"Sant Andreu",57,"la Trinitat Vella",209900,"Meridiana                                         ","0682 0682",8,"Si",0,"No",0,"No",8,"Si",5,"Si",0,"No",3,"Si",1,"Si",1,"Si","Manca atencio a la conduccio",9,"No","Desconegut                                                                                                                                            ","No",2.188653583,41.449111399
"2023S000028    ","Si","No","Es desconeix","Home",49,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",21,"Tarda","Si","No",2,"Eixample",5,"el Fort Pienc",225500,"Nàpols                                            ","0061X0081X",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",1,"Si","Canvi de carril sense precaucio",16,"No","Desconegut                                                                                                                                            ","No",2.182412469,41.393038496
"2023S000029    ","No","No","Oci i entreteniment","Home",50,"Conductors majors de 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",2,"Dilluns",20,"Tarda","Si","No",7,"Horta-Guinardo",43,"Horta",349105,"Universal                                         ","0041 0041",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",1,"Si","No respectar distancies",1,"Si","Desconegut                                                                                                                                            ","No",2.161248436,41.437636789
"2023S000033    ","Si","Si","Es desconeix","Home",42,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",13,"Matí","Si","Si",2,"Eixample",7,"la Dreta de l'Eixample",28305,"Bailèn / Ausiàs Marc                              ","0043 0043",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Gir indegut o sense precaucio",24,"No","Desconegut                                                                                                                                            ","No",2.176818603,41.392224718
"2023S000035    ","No","No","Oci i entreteniment","Home",48,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",3,"Dimarts",13,"Matí","Si","Si",2,"Eixample",9,"la Nova Esquerra de l'Eixample",18505,"Aragó                                             ","0083 0083",1,"No",0,"No",0,"No",1,"Si",3,"Si",0,"No",3,"Si",0,"No",0,"No","Manca atencio a la conduccio",2,"Si","Desconegut                                                                                                                                            ","No",2.150761101,41.381683063
"2023S000038    ","Si","Si","Es desconeix","Dona",43,"Conductors d'entre 38 i 49 anys edat","Conductor","Ciclomotor","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",3,"Dimarts",14,"Tarda","Si","Si",2,"Eixample",6,"la Sagrada Família",191204,"Padilla / Mallorca                                ","0439B0439B",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",0,"No",0,"No",1,"Si","Desobeir semafor",1,"Si","Desconegut                                                                                                                                            ","No",2.177768882,41.40525177
"2023S000039    ","Si","Si","Es desconeix","Home",35,"Conductors entre 30 i 37 anys edat","Conductor","Veh. mobilitat personal amb motor","Vehicles sense permis de conduccio","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",14,"Tarda","Si","Si",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",350308,"València / Casanova                               ","0143 0143",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",0,"No","Gir indegut o sense precaucio",26,"No","Desconegut                                                                                                                                            ","No",2.156204714,41.387329903
"2023S000041    ","No","Si","En missió","Home",73,"Conductors majors de 49 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",18,"Tarda","Si","No",5,"Sarria-Sant Gervasi",26,"Sant Gervasi - Galvany",139805,"Ganduxer                                          ","0005 0015",2,"Si",0,"No",0,"No",2,"Si",3,"Si",0,"No",2,"Si",0,"No",0,"No","Manca atencio a la conduccio",43,"No","Desconegut                                                                                                                                            ","No",2.138790208,41.392316254
"2023S000043    ","Si","No","Es desconeix","Dona",40,"Conductors d'entre 38 i 49 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",19,"Tarda","Si","No",10,"Sant Marti",69,"Diagonal Mar i el Front Marítim del Poblenou",267907,"Garcia Fària                                      ","0002 0002",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",0,"No",2,"Si",0,"No","Manca atencio a la conduccio",11,"No","Desconegut                                                                                                                                            ","No",2.214091981,41.404024934
"2023S000046    ","Si","No","Es desconeix","Home",40,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Rebutja assistència sanitària","Ferit lleu","Rebutja assistencia sanitaria",2023,1,"Gener","Hivern",1,"Diumenge",20,"Tarda","No","No",7,"Horta-Guinardo",41,"la Vall d'Hebron",169103,"Jorge Manrique                                    ","0020 0020",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",1,"Si","Gir indegut o sense precaucio",17,"No","Desconegut                                                                                                                                            ","No",2.149265771,41.431662683
"2023S000047    ","Si","No","Es desconeix","Home",35,"Conductors entre 30 i 37 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",17,"Tarda","Si","No",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",144601,"Diagonal / Balmes                                 ","0411 0411",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","No respectar distancies",10,"No","Desconegut                                                                                                                                            ","No",2.154710596,41.395314373
"2023S000048    ","No","Si","En missió","Home",32,"Conductors entre 30 i 37 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",18,"Tarda","Si","No",4,"Les Corts",19,"les Corts",343903,"Corts / Vallespir                                 ","0261 0261",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Desobeir altres senyals",11,"No","Desconegut                                                                                                                                            ","No",2.132982779,41.385624681
"2023S000049    ","Si","No","Es desconeix","Dona",27,"Conductors fins 29 anys edat","Conductor","Veh. mobilitat personal amb motor","Vehicles sense permis de conduccio","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",3,"Dimarts",21,"Tarda","Si","No",10,"Sant Marti",68,"el Poblenou",330107,"Poblenou / Tànger                                 ","0160X0160X",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",0,"No","No respectar distancies",1,"Si","Desconegut                                                                                                                                            ","No",2.196057155,41.404940981
"2023S000051    ","No","Si","Taxi","Home",24,"Conductors fins 29 anys edat","Conductor","Taxi","Vehicles Us Professional","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",4,"Dimecres",2,"Nit","Si","No",3,"Sants-Montjuic",11,"el Poble-sec",198804,"Paral·lel                                         ","0077 0077",2,"Si",0,"No",0,"No",2,"Si",2,"Si",0,"No",1,"Si",0,"No",1,"Si","Manca atencio a la conduccio",5,"No","Desconegut                                                                                                                                            ","No",2.167085784,41.375166442
"2023S000051    ","No","No","Oci i entreteniment","Home",30,"Conductors entre 30 i 37 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",2,"Nit","Si","No",3,"Sants-Montjuic",11,"el Poble-sec",198804,"Paral·lel                                         ","0077 0077",2,"Si",0,"No",0,"No",2,"Si",2,"Si",0,"No",1,"Si",0,"No",1,"Si","Manca atencio a la conduccio",5,"No","Desconegut                                                                                                                                            ","No",2.167085784,41.375166442
"2023S000054    ","No","Si","In itínere","Home",39,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",11,"Matí","Si","Si",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",18505,"Aragó / Muntaner                                  ","0185 0185",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",1,"Si","Canvi de carril sense precaucio",5,"No","Desconegut                                                                                                                                            ","No",2.158464328,41.387327612
"2023S000055    ","No","No","Altres activitats","Dona",24,"Conductors fins 29 anys edat","Conductor","Veh. mobilitat personal amb motor","Vehicles sense permis de conduccio","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",13,"Matí","Si","Si",4,"Les Corts",19,"les Corts",231502,"Numància / Deu i Mata                             ","0136X0136X",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",1,"Si",0,"No",0,"No","No cedir la dreta",18,"No","Desconegut                                                                                                                                            ","No",2.134384389,41.387718843
"2023S000056    ","No","Si","En missió","Home",26,"Conductors fins 29 anys edat","Conductor","Ciclomotor","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",4,"Dimecres",14,"Tarda","Si","Si",7,"Horta-Guinardo",33,"el Baix Guinardó",152905,"Guinardó                                          ","0033 0033",2,"Si",0,"No",0,"No",2,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","No respectar distancies",2,"Si","Desconegut                                                                                                                                            ","No",2.166062916,41.412336467
"2023S000056    ","No","Si","En missió","Dona",22,"Conductors fins 29 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Rebutja assistència sanitària","Ferit lleu","Rebutja assistencia sanitaria",2023,1,"Gener","Hivern",4,"Dimecres",14,"Tarda","Si","Si",7,"Horta-Guinardo",33,"el Baix Guinardó",152905,"Guinardó                                          ","0033 0033",2,"Si",0,"No",0,"No",2,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","No respectar distancies",2,"Si","Desconegut                                                                                                                                            ","No",2.166062916,41.412336467
"2023S000057    ","Si","Si","Es desconeix","Home",24,"Conductors fins 29 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",12,"Matí","Si","Si",5,"Sarria-Sant Gervasi",23,"Sarrià",320908,"Sarrià a Vallvidrera                              ","0106 0150",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Manca atencio a la conduccio",2,"Si","Desconegut                                                                                                                                            ","No",2.111232034,41.407471725
"2023S000058    ","No","No","Oci i entreteniment","Home",34,"Conductors entre 30 i 37 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",4,"Dimecres",16,"Tarda","Si","Si",10,"Sant Marti",64,"el Camp de l'Arpa del Clot",226400,"Meridiana / Las Navas de Tolosa                   ","0293 0293",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","No respectar distancies",3,"Si","Desconegut                                                                                                                                            ","No",2.186890129,41.415285043
"2023S000059    ","No","Si","In itínere","Dona",43,"Conductors d'entre 38 i 49 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",14,"Tarda","Si","Si",10,"Sant Marti",66,"el Parc i la Llacuna del Poblenou",242906,"Pere IV                                           ","0145 0145",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",2,"Si",0,"No",0,"No","Manca atencio a la conduccio",20,"No","Desconegut                                                                                                                                            ","No",2.194037962,41.398483165
"2023S000060    ","No","Si","In itínere","Dona",42,"Conductors d'entre 38 i 49 anys edat","Conductor","Motocicleta","Vehicles motoritzats de 2 rodes","Ferit lleu: Hospitalització fins a 24h","Ferit lleu","Hospitalitzacio fins a 24h",2023,1,"Gener","Hivern",4,"Dimecres",18,"Tarda","Si","No",4,"Les Corts",19,"les Corts",144601,"Numància / Diagonal                               ","0652D0656D",1,"No",0,"No",0,"No",1,"Si",2,"Si",0,"No",0,"No",2,"Si",0,"No","Avancament defectuos/improcedent",19,"No","Desconegut                                                                                                                                            ","No",2.13260725,41.389621548
"2023S000061    ","No","No","Oci i entreteniment","Home",47,"Conductors d'entre 38 i 49 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",4,"Dimecres",19,"Tarda","Si","No",3,"Sants-Montjuic",12,"la Marina del Prat Vermell",701265,"Litoral (Besòs)                                   ","001530000",3,"Si",0,"No",0,"No",3,"Si",3,"Si",0,"No",2,"Si",1,"Si",0,"No","No respectar distancies",14,"No","Desconegut                                                                                                                                            ","No",2.141784635,41.347100121
"2023S000061    ","No","Si","In itínere","Home",50,"Conductors majors de 49 anys edat","Conductor","Turisme","Vehicles motoritzats de quatre rodes","Ferit lleu: Amb assistència sanitària en lloc d'accident","Ferit lleu","Amb assistencia sanitaria en lloc accident",2023,1,"Gener","Hivern",4,"Dimecres",19,"Tarda","Si","No",3,"Sants-Montjuic",12,"la Marina del Prat Vermell",701265,"Litoral (Besòs)                                   ","001530000",3,"Si",0,"No",0,"No",3,"Si",3,"Si",0,"No",2,"Si",1,"Si",0,"No","No respectar distancies",14,"No","Desconegut                                                                                                                                            ","No",2.141784635,41.347100121
